0, 0, 0.000000
1, 0, 0.000000
2, 0, 0.000000
3, 0, 0.000000
4, 0, 0.000000
5, 0, 0.000000
6, 0, 2380250.000000
7, 0, 0.000000
8, 0, 0.000000
9, 0, 0.000000
10, 0, 0.000000
11, 0, 0.000000
12, 0, 2585310.000000
13, 0, 0.000000
14, 0, 0.000000
15, 0, 0.000000
16, 0, 0.000000
17, 0, 0.000000
18, 0, 2479776.000000
19, 0, 0.000000
20, 0, 0.000000
21, 0, 0.000000
22, 0, 0.000000
23, 0, 0.000000
24, 2, 2479776.000000
25, 2, 0.000000
26, 2, 0.000000
27, 2, 0.000000
28, 2, 0.000000
29, 2, 0.000000
30, 2, 2451234.000000
31, 2, 0.000000
32, 2, 0.000000
33, 2, 0.000000
34, 2, 0.000000
35, 2, 0.000000
36, 2, 2445522.000000
37, 2, 0.000000
38, 2, 0.000000
39, 2, 0.000000
40, 2, 0.000000
41, 2, 0.000000
42, 2, 2445522.000000
43, 2, 0.000000
44, 2, 0.000000
45, 2, 0.000000
46, 2, 0.000000
47, 2, 0.000000
48, 2, 2445522.000000
49, 2, 0.000000
50, 0, 0.000000
51, 0, 0.000000
52, 0, 0.000000
53, 0, 0.000000
54, 0, 2477703.000000
55, 0, 0.000000
56, 0, 0.000000
57, 0, 0.000000
58, 0, 0.000000
59, 0, 0.000000
60, 0, 2433704.000000
61, 0, 0.000000
62, 0, 0.000000
63, 0, 0.000000
64, 0, 0.000000
65, 0, 0.000000
66, 0, 2526016.000000
67, 0, 0.000000
68, 0, 0.000000
69, 0, 0.000000
70, 0, 0.000000
71, 0, 0.000000
72, 0, 2479776.000000
73, 0, 0.000000
74, 0, 0.000000
75, 0, 0.000000
76, 0, 0.000000
77, 0, 0.000000
78, 0, 2451234.000000
79, 0, 0.000000
80, 0, 0.000000
81, 0, 0.000000
82, 0, 0.000000
83, 0, 0.000000
84, 0, 2445522.000000
85, 0, 0.000000
86, 0, 0.000000
87, 0, 0.000000
88, 0, 0.000000
89, 0, 0.000000
90, 0, 2445522.000000
91, 0, 0.000000
92, 0, 0.000000
93, 0, 0.000000
94, 0, 0.000000
95, 0, 0.000000
96, 0, 2445522.000000
97, 0, 0.000000
98, 0, 0.000000
99, 0, 0.000000
100, 0, 0.000000
101, 0, 0.000000
102, 0, 2485488.000000
103, 0, 0.000000
104, 0, 0.000000
105, 0, 0.000000
106, 0, 0.000000
107, 0, 0.000000
108, 0, 2479776.000000
109, 0, 0.000000
110, 0, 0.000000
111, 0, 0.000000
112, 0, 0.000000
113, 2, 0.000000
114, 2, 2478738.000000
115, 2, 0.000000
116, 2, 0.000000
117, 2, 0.000000
118, 2, 0.000000
119, 2, 0.000000
120, 2, 2464206.000000
121, 2, 0.000000
122, 2, 0.000000
123, 2, 0.000000
124, 2, 0.000000
