0, 0, 0.000000
1, 0, 0.000000
2, 0, 0.000000
3, 0, 0.000000
4, 0, 0.000000
5, 0, 0.000000
6, 0, 2027644.000000
7, 0, 0.000000
8, 0, 0.000000
9, 0, 0.000000
10, 0, 0.000000
11, 0, 0.000000
12, 0, 1298406.000000
13, 0, 0.000000
14, 0, 0.000000
15, 0, 0.000000
16, 0, 0.000000
17, 0, 0.000000
18, 0, 1285064.000000
19, 0, 0.000000
20, 0, 0.000000
21, 0, 0.000000
22, 0, 0.000000
23, 0, 0.000000
24, 0, 809660.000000
25, 0, 0.000000
26, 0, 0.000000
27, 0, 0.000000
28, 0, 0.000000
29, 0, 0.000000
30, 0, 1020817.000000
31, 0, 0.000000
32, 0, 0.000000
33, 0, 0.000000
34, 0, 0.000000
35, 0, 0.000000
36, 0, 1797896.000000
37, 0, 0.000000
38, 0, 0.000000
39, 0, 0.000000
40, 0, 0.000000
41, 0, 0.000000
42, 0, 2137384.000000
43, 0, 0.000000
44, 0, 0.000000
45, 0, 0.000000
46, 0, 0.000000
47, 0, 0.000000
48, 0, 2086738.000000
49, 0, 0.000000
50, 0, 0.000000
51, 0, 0.000000
52, 0, 0.000000
53, 0, 0.000000
54, 0, 2618419.000000
55, 0, 0.000000
56, 0, 0.000000
57, 0, 0.000000
58, 0, 0.000000
59, 0, 0.000000
60, 0, 1539626.000000
61, 0, 0.000000
62, 0, 0.000000
63, 0, 0.000000
64, 0, 0.000000
65, 0, 0.000000
66, 0, 1731246.000000
67, 0, 0.000000
68, 0, 0.000000
69, 0, 0.000000
70, 0, 0.000000
71, 0, 0.000000
72, 0, 3049005.000000
73, 0, 0.000000
74, 0, 0.000000
75, 0, 0.000000
76, 0, 0.000000
77, 0, 0.000000
78, 0, 2669348.000000
79, 0, 0.000000
80, 0, 0.000000
81, 0, 0.000000
82, 0, 0.000000
83, 0, 0.000000
84, 0, 1687670.000000
85, 0, 0.000000
86, 0, 0.000000
87, 0, 0.000000
88, 0, 0.000000
89, 0, 0.000000
90, 0, 2234235.000000
91, 0, 0.000000
92, 0, 0.000000
93, 0, 0.000000
94, 0, 0.000000
95, 0, 0.000000
96, 0, 2937238.000000
97, 0, 0.000000
98, 0, 0.000000
99, 0, 0.000000
100, 0, 0.000000
101, 0, 0.000000
102, 0, 2075354.000000
103, 0, 0.000000
104, 0, 0.000000
105, 0, 0.000000
106, 0, 0.000000
107, 0, 0.000000
108, 0, 2060372.000000
109, 0, 0.000000
110, 0, 0.000000
111, 0, 0.000000
112, 0, 0.000000
113, 0, 0.000000
114, 0, 3668777.000000
115, 0, 0.000000
116, 0, 0.000000
117, 0, 0.000000
118, 0, 0.000000
119, 0, 0.000000
120, 0, 2377987.000000
121, 0, 0.000000
122, 0, 0.000000
123, 0, 0.000000
124, 0, 0.000000
